Family	Subfamily
Mantidae	Hierodulinae
Mantidae	Hierodulinae
Mantidae	Tenoderinae
Mantidae	Hierodulinae
Mantidae	Hierodulinae
Eremiaphilidae	Iridinae
Mantidae	Hierodulinae
Mantidae	Hierodulinae
Mantidae	Hierodulinae
Mantidae	Hierodulinae
Mantidae	Hierodulinae
Mantidae	Tenoderinae
Mantidae	Mantinae
Miomantidae	Miomantinae
Miomantidae	Miomantinae
Deroplatyidae	Deroplatyinae
Mantidae	Hierodulinae
Mantidae	Mantinae
Deroplatyidae	Deroplatyinae
Deroplatyidae	Deroplatyinae
Eremiaphilidae	Eremiaphilinae
Coptopterygidae	na
Acanthopidae	Stenophyllinae
Acanthopidae	Acanthopinae
Haaniidae	Caliridinae
Haaniidae	Haaniinae
Gonypetidae	Iridopteryginae
Gonypetidae	Iridopteryginae
Gonypetidae	Iridopteryginae
Gonypetidae	Gonypetinae
Gonypetidae	Gonypetinae
Gonypetidae	Gonypetinae
Leptomantellidae	na
Amorphoscelidae	Amorphoscelinae
Nanomantidae	Nanomantinae
Nanomantidae	Nanomantinae
Nanomantidae	Tropidomantinae
Nanomantidae	Tropidomantinae
Nanomantidae	Tropidomantinae
Eremiaphilidae	Iridinae
Toxoderidae	Heterochaetinae
Eremiaphilidae	Tarachodinae
Toxoderidae	Toxoderinae
Toxoderidae	Toxoderinae
Toxoderidae	Toxoderinae
Deroplatyidae	Popinae
Miomantidae	Miomantinae
Miomantidae	Miomantinae
Deroplatyidae	Popinae
Deroplatyidae	Deroplatyinae
Deroplatyidae	Deroplatyinae
Deroplatyidae	Deroplatyinae
Mantidae	Orthoderinae
Mantidae	Mantinae
Mantidae	Mantinae
Mantidae	Vatinae
Mantidae	Tenoderinae
Mantidae	Tenoderinae
Mantidae	Tenoderinae
Mantidae	Tenoderinae
Mantidae	Tenoderinae
Mantidae	Tenoderinae
Mantidae	Hierodulinae
Mantidae	Hierodulinae
Mantidae	Hierodulinae
Mantidae	Tenoderinae
Mantidae	Tenoderinae
Mantidae	Hierodulinae
Mantidae	Hierodulinae
Empusidae	Blepharodinae
Empusidae	Blepharodinae
Empusidae	Empusinae
Empusidae	Empusinae
Empusidae	Empusinae
Hymenopodidae	Phyllothelyinae
Hymenopodidae	Phyllothelyinae
Hymenopodidae	Acromantinae
Hymenopodidae	Oxypilinae
Hymenopodidae	Oxypilinae
Hymenopodidae	Oxypilinae
Hymenopodidae	Oxypilinae
Hymenopodidae	Acromantinae
Deroplatyidae	Popinae
Hymenopodidae	Acromantinae
Hymenopodidae	Acromantinae
Hymenopodidae	Sibyllinae
Hymenopodidae	Phyllocraniinae
Hymenopodidae	Hymenopodinae
Hymenopodidae	Hymenopodinae
Hymenopodidae	Hymenopodinae
Hymenopodidae	Hymenopodinae
Hymenopodidae	Hymenopodinae
Hymenopodidae	Hymenopodinae
Hymenopodidae	Hymenopodinae
Hymenopodidae	Hymenopodinae
Hymenopodidae	Hymenopodinae
Hymenopodidae	Hymenopodinae
Hymenopodidae	Hymenopodinae
Haaniidae	Haaniinae
Haaniidae	Haaniinae
Haaniidae	Haaniinae
Gonypetidae	Gonypetinae
Nanomantidae	Tropidomantinae
Rivetinidae	Rivetininae
Amelidae	na
Galinthiadidae	na
Mantidae	Choeradodinae
Mantidae	Hierodulinae
Mantidae	Vatinae
Mantidae	Vatinae
Mantidae	Hierodulinae
Mantidae	Hierodulinae
Hymenopodidae	Hymenopodinae
Hymenopodidae	Phyllothelyinae
Hymenopodidae	Phyllothelyinae
Hymenopodidae	Phyllothelyinae
Acanthopidae	Stenophyllinae
Leptomantellidae	na
Hymenopodidae	Hymenopodinae
Hymenopodidae	Hymenopodinae
Hymenopodidae	Phyllothelyinae
Hymenopodidae	Acromantinae
Mantidae	Tenoderinae
Mantidae	Hierodulinae
Mantidae	Hierodulinae
Hymenopodidae	Acromantinae
Toxoderidae	Toxoderinae
Thespidae	Thespinae
Amorphoscelidae	Amorphoscelinae
Acanthopidae	Acanthopinae
Hymenopodidae	Hymenopodinae
Hymenopodidae	Oxypilinae
Hymenopodidae	Oxypilinae
Hymenopodidae	Oxypilinae
Gonypetidae	Gonypetinae
Gonypetidae	Gonypetinae
Haaniidae	Haaniinae
Haaniidae	Haaniinae
Gonypetidae	Gonypetinae
Hymenopodidae	Hymenopodinae
Hymenopodidae	Phyllothelyinae
Hymenopodidae	Hymenopodinae
Gonypetidae	Iridopteryginae
Mantidae	Tenoderinae
Gonypetidae	Gonypetinae
Hymenopodidae	Acromantinae
Hymenopodidae	Hymenopodinae
Nanomantidae	Nanomantinae
Haaniidae	Haaniinae
Hymenopodidae	Hymenopodinae
Hymenopodidae	Hymenopodinae
Acanthopidae	Stenophyllinae
Haaniidae	Haaniinae
Metallyticidae	na
Hymenopodidae	Hymenopodinae
Mantidae	Hierodulinae
Hymenopodidae	Phyllothelyinae
Mantidae	Mantinae
Mantidae	Hierodulinae
Mantidae	Tenoderinae
Mantidae	Mantinae
Leptomantellidae	na
Toxoderidae	Toxoderinae
Hymenopodidae	Acromantinae
Amorphoscelidae	Amorphoscelinae
Hymenopodidae	Hymenopodinae
Leptomantellidae	na
Metallyticidae	na
Hymenopodidae	Phyllothelyinae
Haaniidae	Haaniinae
