Family(19)	Subfamily(33)
Acanthopidae	Acanthopinae
Acanthopidae	Stenophyllinae
Amelidae	na
Amorphoscelidae	Amorphoscelinae
Coptopterygidae	na
Deroplatyidae	Deroplatyinae
Deroplatyidae	Popinae
Empusidae	Blepharodinae
Empusidae	Empusinae
Eremiaphilidae	Eremiaphilinae
Eremiaphilidae	Iridinae
Eremiaphilidae	Tarachodinae
Galinthiadidae	na
Gonypetidae	Gonypetinae
Gonypetidae	Iridopteryginae
Haaniidae	Caliridinae
Haaniidae	Haaniinae
Hymenopodidae	Acromantinae
Hymenopodidae	Hymenopodinae
Hymenopodidae	Oxypilinae
Hymenopodidae	Phyllocraniinae
Hymenopodidae	Phyllothelyinae
Hymenopodidae	Sibyllinae
Leptomantellidae	na
Mantidae	Choeradodinae
Mantidae	Hierodulinae
Mantidae	Mantinae
Mantidae	Orthoderinae
Mantidae	Tenoderinae
Mantidae	Vatinae
Metallyticidae	na
Miomantidae	Miomantinae
Nanomantidae	Nanomantinae
Nanomantidae	Tropidomantinae
Rivetinidae	Rivetininae
Thespidae	Thespinae
Toxoderidae	Heterochaetinae
Toxoderidae	Toxoderinae
