,wings
KX434843.1_Acomul,1
NC_086817.1_Acrhes,1
NC_085562.1_Acrjap,1
NC_037203.1_Amanaw,1
NC_086818.1_Amawuz,1
MG888436.1_Ambpar,1
KY689128.1_Ambund,1
AA001_Ameand,2
43assoi_Ameass,2
ADEC02_Amedec,2
59T3_Amedum,2
41K26_Amepic,2
AA003_Ameser,2
AA005_Amespa,2
23spal_Amespa2,2
KX434846.1_Amochi,1
NC_057070.1_Amohai,1
MG888437.1_Amospe,1
OM202555.1_Anagra,1
NC_086822.1_Anasin,1
OM202554.1_Anaspe,1
NC_086826.1_Anatia,1
NC_030268.1_Anazhe,1
AAP07_Aptapt,3
NC_086828.1_Arrbre,1
NC_051892.1_Arrpal,1
OM202563.1_Arrpal2,1
NC_086829.1_Arrpur,1
MW357297.1_Asiyun,1
PP438763.1_Astbas,2
NC_086830.1_Astmaj,2
KX434828.1_Blemen,1
OZ336339.1_Bolbra,2
KX434826.1_Brubor,2
KY689126.1_Calspe,1
NC_077476.1_Caldia,1
KX434812.1_Cammou,2
OM910846.1_Carspe,1
PP438765.1_Cermac,2
KX091850.1_Cersau,2
PP438766.1_Ceryun,2
NC_077479.1_Chestr,2
PP438767.1_Chlles,1
NC_069808.1_Cilhum,2
NC_069809.1_Citfal,1
KX434867.1_Creapi,1
KX091851.1_Creelo,1
NC_030267.1_Cregem,1
NC_037234.1_Crejia,1
MW222469.1_Crespe,1
KX434844.1_Decspe,1
KX434834.1_Derdes,1
KY689113.1_Derdes2,1
KX434850.1_Derlob,1
NC_069810.1_Dertru,1
KX434825.1_Emppen,1
NC_037208.1_Eomyun,1
MK400676.1_Erespe,2
NC_077478.1_Galamo,1
KX434815.1_Gongon,1
NC_086831.1_Gonbru,2
OM177664.1_Gonspe,2
KY689130.1_Haaspe,2
KX434845.1_Haavit,2
KX434859.1_Heshof,2
KX091855.1_Hesspe,1
KX434823.1_Hetspe,1
NC_065745.1_Hiechi,1
NC_029326.1_Hiefor,1
NC_086819.1_Hielat,1
OK542392.1_Hielon,1
NC_065758.1_Hiemac,1
KX434819.1_Hiemaj,1
NC_048984.1_Hiemem,1
KX434830.1_Hiemul,1
NC_034283.1_Hiepat,1
OL414959.1_Hiespe,1
MW357298.1_Hiespe2,1
NC_065746.1_Hiezha,1
KY689136.1_Hiedul,1
NC_030264.1_Humnad,2
KX434857.1_Humnad2,2
MG888449.1_Hymcor,1
KX434861.1_Hymcor,1
KX434864.1_Idodia,1
KX434824.1_Idolat,1
KX434820.1_Iripol,2
NC_024028.1_Lepalb,1
MG888453.1_Leplac,1
OM202571.1_Lepspe,1
OK480879.1_Lepton,1
PP072306.1_Majmou,1
NC_030265.1_Manrel,1
MN267041.1_Mekqui,1
MW357300.1_Mesala,1
KX434813.1_Mesala2,1
KX434871.1_Metspe,1
MG888455.1_Metspl,1
KX434808.1_Miocaf,2
OM202562.1_Mirspe,1
KX434810.1_Miryun,1
KX434858.1_Neobol,1
PP072307.1_Odospe,1
KX434842.1_Ortmin,1
NC_086621.1_Otoscu,1
KX434856.1_Otospe,1
NC_069811.1_Pacbic,1
PP438770.1_Panfra,2
KY689117.1_Parkuh,2
MG888456.1_Parkuhasi,2
NC_066978.1_Paragr,2
MG888457.1_Pargig,1
NC_037697.1_Parpol,1
KX434870.1_Pardav,1
NC_086795.1_Phypar,2
NC_086622.1_Phybre,1
MT024239.1_Phybre2,1
KX091863.1_Physha,1
NC_086824.1_Physin,1
KY689119.1_Physpe,1
NC_086825.1_Phywer,1
NC_051490.1_Plibim,1
KX434821.1_Plispe,1
KX434851.1_Pnimed,1
KX434863.1_Polgri,1
KX434839.1_Popspu,2
KX434855.1_Propic,2
KX434868.1_Prospe,2
PV564197.1_Pselob,2
NC_086821.1_Psepin,2
KX434847.1_Psepin2,2
KX434811.1_Psewah,1
KX434841.1_Psespe,2
KX434838.1_Psechl,1
MW357301.1_Pseper,1
16CI1f_Psebet,3
NC_045876.1_Psybor,1
NC_077477.1_Rapfus,2
NC_034282.1_Rhobra,1
KX091864.1_Rholat,1
NC_051489.1_Rholon,1
KX619654.1_Rhospe,1
NC_034284.1_Rhoval,1
RBE05_Rivbae,2
NC_037206.1_Scesim,1
NC_037207.1_Schbic,1
NC_037235.1_Sibpre,1
NC_063851.1_Sinden,1
KX434860.1_Singra,1
MG888464.1_Singua,1
OM202561.1_Sinspe,1
NC_037204.1_Sphlin,1
KX434840.1_Sphvir,1
KX434816.1_Spiocc,1
KX091854.1_Spiocc2,1
MW357302.1_Stabio,1
NC_086820.1_Staagr,1
NC_065761.1_Stafla,1
NC_065760.1_Stamac,1
KU201316.1_Staspe,1
OL414957.1_Staspe2,1
KY689118.1_Stepor,1
NC_007702.1_Tamtam,1
KX434862.1_Tarala,1
KX434817.1_Tausig,2
NC_065759.1_Tenang,1
OK542393.1_Tenaribre,1
NC_030266.1_Tensin,1
OM202552.1_Tenspe,1
NC_086832.1_Themac,2
KX434849.1_Themil,2
NC_086827.1_Theoph,2
KU201314.1_Thespe,2
KX434829.1_Thecat,1
KY689125.1_Theele,1
KX434818.1_Therub,1
NC_086823.1_Thesin,1
OM202564.1_Thespe,1
KX434837.1_Toxhau,2
NC_037205.1_Troten,1
MW357303.1_Yermex,1
