Families	2009-Svenson	2019-Schwartz&Roy	2023-Liu	2023-Yue	Present-study
Acanthopidae	x	x	x	x	x
Amelidae	x		x		x
Amorphoscelidae	x	x	x	x	x
Angelidae			x		
Chaeteessidae	x				
Chroicopteridae	x		x		
Coptopterygidae	x	x	x	x	x
Dactylopterygidae	x		x		
Deroplatyidae		x	x	x	x
Empusidae	x	x	x	x	x
Epaphroditidae			x		
Eremiaphilidae	x	x	x	x	x
Galinthiadidae	x		x		x
Gonypetidae	x	x	x	x	x
Haaniidae	x		x		x
Hoplocoryphidae	x		x		
Hymenopodidae	x	x	x	x	x
Leptomantellidae	x	x	x	x	x
Liturgusidae	x		x		
Majangidae			x		
Mantidae	x	x	x	x	x
Mantoididae	x		x		
Metallyticidae	x	x	x	x	x
Miomantidae	x	x	x	x	x
Nanomantidae	x	x	x	x	x
Outgroup	x	x	x	x	x
Photinaidae	x		x		
Rivetinidae	x				x
Thespidae	x		x		x
Toxoderidae	x	x	x	x	x

